aX,aY,aZ,gX,gY,gZ
0.315,-0.900,0.698,-27.832,-78.674,102.478
0.238,-0.875,0.724,-29.480,-81.848,105.469
0.169,-0.862,0.741,-32.593,-83.130,107.178
0.089,-0.828,0.740,-37.598,-82.947,108.459
0.031,-0.785,0.720,-40.771,-81.299,109.131
-0.023,-0.756,0.718,-42.542,-80.994,108.948
-0.078,-0.742,0.721,-41.870,-81.482,108.459
-0.116,-0.727,0.736,-37.842,-80.933,109.314
-0.152,-0.731,0.752,-32.166,-79.712,110.413
-0.183,-0.732,0.751,-28.442,-76.660,112.427
-0.217,-0.715,0.743,-26.306,-73.975,115.356
