aX,aY,aZ,gX,gY,gZ
-0.316,-2.251,1.712,-33.752,9.766,11.719
-0.315,-2.105,1.572,-41.687,20.691,22.156
-0.316,-1.957,1.425,-47.546,29.358,29.602
-0.304,-1.823,1.295,-54.321,36.194,33.386
-0.296,-1.708,1.190,-61.951,40.771,36.255
-0.267,-1.613,1.107,-69.580,43.640,36.438
-0.221,-1.523,1.042,-76.111,44.983,34.790
-0.190,-1.458,0.986,-81.909,44.678,33.508
-0.169,-1.396,0.922,-87.891,43.884,33.752
-0.191,-1.355,0.885,-92.773,42.236,34.729
-0.214,-1.311,0.893,-95.764,41.687,33.569
-0.183,-1.247,0.878,-98.755,45.959,29.602
-0.123,-1.199,0.834,-106.750,52.063,27.344

-0.101,-1.151,0.771,-127.197,54.565,31.799
-0.081,-1.115,0.738,-135.010,56.824,34.058
-0.054,-1.042,0.665,-140.808,62.866,36.865
-0.049,-0.964,0.564,-146.118,69.458,44.495
-0.061,-0.861,0.442,-147.644,73.730,54.932
-0.074,-0.763,0.335,-142.700,74.280,65.552
-0.110,-0.662,0.257,-135.925,72.632,69.336
-0.153,-0.549,0.182,-127.808,70.740,67.383
-0.161,-0.445,0.092,-120.117,68.237,63.721
-0.154,-0.324,0.021,-114.319,63.904,57.617
-0.148,-0.222,-0.032,-111.328,58.899,49.438
-0.136,-0.142,-0.064,-113.159,55.786,43.945
-0.114,-0.066,-0.101,-117.249,55.237,40.588
-0.088,-0.009,-0.126,-121.643,55.847,38.696
-0.050,0.044,-0.161,-124.695,55.420,35.828
-0.004,0.102,-0.195,-123.718,54.321,32.898
0.044,0.153,-0.193,-117.188,51.758,32.959
0.075,0.188,-0.176,-106.323,49.133,37.415
0.099,0.239,-0.165,-93.994,48.706,44.250
0.103,0.304,-0.150,-79.895,47.302,50.720
0.098,0.362,-0.140,-65.674,43.823,53.284
0.084,0.438,-0.124,-52.917,39.368,51.575
0.079,0.498,-0.091,-39.551,33.569,46.265
0.088,0.529,-0.053,-29.968,27.466,37.720
0.110,0.544,-0.007,-23.254,19.226,27.893
0.132,0.561,0.036,-16.541,8.606,16.846
0.152,0.587,0.062,-9.827,-1.526,6.470
0.175,0.582,0.091,-4.395,-11.597,-2.625
0.172,0.554,0.116,2.197,-23.071,-10.986
0.146,0.522,0.127,10.986,-30.701,-18.188
0.175,0.490,0.134,21.606,-31.006,-22.827
0.232,0.439,0.121,34.790,-31.921,-21.851
0.248,0.396,0.114,49.194,-36.377,-17.395
0.190,0.405,0.047,64.453,-41.016,-11.169
0.149,0.438,-0.046,82.764,-41.321,-6.226
